market_id,name,created_by
100,บวบ,system
100,มะเขือยาว,system
100,ถั่วฝักยาว,system
100,ไต้หวัน,system
100,หอมใหญ่,system
100,มะเขือเทศ,system
100,เห็ดหูหนู,system
100,เห็ดนางฟ้า,system
100,สะระแหน่,system
100,ผักชีฝรั่ง,system
100,ต้นหอม,system
100,ขึ้นฉ่าย,system
100,ใบมะกรูด,system
100,มะเขือเปราะ,system
100,มะเขือพวง,system
100,แตงร้าน,system
100,กะหล่ำปลี,system
100,คะน้า,system
100,แขนง,system
100,กวางตุ้ง,system
100,ผักบุ้งจีน,system
100,ผักกาดขาว,system
100,ขิงซอย,system
100,กระชายซอย,system
100,ข้าวโพดอ่อน,system
100,ขี้หนูแดง,system
100,ชี้ฟ้าแดง,system
100,พริกยำ,system
100,ใบกะเพรา,system
100,ใบโหระพา,system
100,ใบแมงลัก,system
100,ดอกขจร,system
